code,description,category,subcategory,code_system
0001F,Performance measure 1F,Category II - Performance Measures,Quality Measurement,CPT
00100,Anesthesia for procedure 100,Anesthesia,Anesthesia Services,CPT
00110,Anesthesia for procedure 110,Anesthesia,Anesthesia Services,CPT
00120,Anesthesia for procedure 120,Anesthesia,Anesthesia Services,CPT
00130,Anesthesia for procedure 130,Anesthesia,Anesthesia Services,CPT
00140,Anesthesia for procedure 140,Anesthesia,Anesthesia Services,CPT
00150,Anesthesia for procedure 150,Anesthesia,Anesthesia Services,CPT
00160,Anesthesia for procedure 160,Anesthesia,Anesthesia Services,CPT
0016T,Emerging technology procedure 16T,Category III - Emerging Technology,Investigational,CPT
00170,Anesthesia for procedure 170,Anesthesia,Anesthesia Services,CPT
00180,Anesthesia for procedure 180,Anesthesia,Anesthesia Services,CPT
00190,Anesthesia for procedure 190,Anesthesia,Anesthesia Services,CPT
00200,Anesthesia for procedure 200,Anesthesia,Anesthesia Services,CPT
00210,Anesthesia for procedure 210,Anesthesia,Anesthesia Services,CPT
00220,Anesthesia for procedure 220,Anesthesia,Anesthesia Services,CPT
00230,Anesthesia for procedure 230,Anesthesia,Anesthesia Services,CPT
00240,Anesthesia for procedure 240,Anesthesia,Anesthesia Services,CPT
00250,Anesthesia for procedure 250,Anesthesia,Anesthesia Services,CPT
00260,Anesthesia for procedure 260,Anesthesia,Anesthesia Services,CPT
0026T,Emerging technology procedure 26T,Category III - Emerging Technology,Investigational,CPT
00270,Anesthesia for procedure 270,Anesthesia,Anesthesia Services,CPT
00280,Anesthesia for procedure 280,Anesthesia,Anesthesia Services,CPT
00290,Anesthesia for procedure 290,Anesthesia,Anesthesia Services,CPT
00300,Anesthesia for procedure 300,Anesthesia,Anesthesia Services,CPT
00310,Anesthesia for procedure 310,Anesthesia,Anesthesia Services,CPT
00320,Anesthesia for procedure 320,Anesthesia,Anesthesia Services,CPT
00330,Anesthesia for procedure 330,Anesthesia,Anesthesia Services,CPT
00340,Anesthesia for procedure 340,Anesthesia,Anesthesia Services,CPT
00350,Anesthesia for procedure 350,Anesthesia,Anesthesia Services,CPT
00360,Anesthesia for procedure 360,Anesthesia,Anesthesia Services,CPT
0036T,Emerging technology procedure 36T,Category III - Emerging Technology,Investigational,CPT
00370,Anesthesia for procedure 370,Anesthesia,Anesthesia Services,CPT
00380,Anesthesia for procedure 380,Anesthesia,Anesthesia Services,CPT
00390,Anesthesia for procedure 390,Anesthesia,Anesthesia Services,CPT
00400,Anesthesia for procedure 400,Anesthesia,Anesthesia Services,CPT
00410,Anesthesia for procedure 410,Anesthesia,Anesthesia Services,CPT
00420,Anesthesia for procedure 420,Anesthesia,Anesthesia Services,CPT
00430,Anesthesia for procedure 430,Anesthesia,Anesthesia Services,CPT
00440,Anesthesia for procedure 440,Anesthesia,Anesthesia Services,CPT
00450,Anesthesia for procedure 450,Anesthesia,Anesthesia Services,CPT
00460,Anesthesia for procedure 460,Anesthesia,Anesthesia Services,CPT
0046T,Emerging technology procedure 46T,Category III - Emerging Technology,Investigational,CPT
00470,Anesthesia for procedure 470,Anesthesia,Anesthesia Services,CPT
00480,Anesthesia for procedure 480,Anesthesia,Anesthesia Services,CPT
00490,Anesthesia for procedure 490,Anesthesia,Anesthesia Services,CPT
00500,Anesthesia for procedure 500,Anesthesia,Anesthesia Services,CPT
00510,Anesthesia for procedure 510,Anesthesia,Anesthesia Services,CPT
0051F,Performance measure 51F,Category II - Performance Measures,Quality Measurement,CPT
00520,Anesthesia for procedure 520,Anesthesia,Anesthesia Services,CPT
00530,Anesthesia for procedure 530,Anesthesia,Anesthesia Services,CPT
00540,Anesthesia for procedure 540,Anesthesia,Anesthesia Services,CPT
00550,Anesthesia for procedure 550,Anesthesia,Anesthesia Services,CPT
00560,Anesthesia for procedure 560,Anesthesia,Anesthesia Services,CPT
0056T,Emerging technology procedure 56T,Category III - Emerging Technology,Investigational,CPT
00570,Anesthesia for procedure 570,Anesthesia,Anesthesia Services,CPT
00580,Anesthesia for procedure 580,Anesthesia,Anesthesia Services,CPT
00590,Anesthesia for procedure 590,Anesthesia,Anesthesia Services,CPT
00600,Anesthesia for procedure 600,Anesthesia,Anesthesia Services,CPT
00610,Anesthesia for procedure 610,Anesthesia,Anesthesia Services,CPT
00620,Anesthesia for procedure 620,Anesthesia,Anesthesia Services,CPT
00630,Anesthesia for procedure 630,Anesthesia,Anesthesia Services,CPT
00640,Anesthesia for procedure 640,Anesthesia,Anesthesia Services,CPT
00650,Anesthesia for procedure 650,Anesthesia,Anesthesia Services,CPT
00660,Anesthesia for procedure 660,Anesthesia,Anesthesia Services,CPT
0066T,Emerging technology procedure 66T,Category III - Emerging Technology,Investigational,CPT
00670,Anesthesia for procedure 670,Anesthesia,Anesthesia Services,CPT
00680,Anesthesia for procedure 680,Anesthesia,Anesthesia Services,CPT
00690,Anesthesia for procedure 690,Anesthesia,Anesthesia Services,CPT
00700,Anesthesia for procedure 700,Anesthesia,Anesthesia Services,CPT
