code,description,category,code_system
A0021,"Ambulance service, transport/supply type 21",Ambulance Services,HCPCS Level II
A0026,"Ambulance service, transport/supply type 26",Ambulance Services,HCPCS Level II
A0031,"Ambulance service, transport/supply type 31",Ambulance Services,HCPCS Level II
A0036,"Ambulance service, transport/supply type 36",Ambulance Services,HCPCS Level II
A0041,"Ambulance service, transport/supply type 41",Ambulance Services,HCPCS Level II
A0046,"Ambulance service, transport/supply type 46",Ambulance Services,HCPCS Level II
A0051,"Ambulance service, transport/supply type 51",Ambulance Services,HCPCS Level II
A0056,"Ambulance service, transport/supply type 56",Ambulance Services,HCPCS Level II
A0061,"Ambulance service, transport/supply type 61",Ambulance Services,HCPCS Level II
A0066,"Ambulance service, transport/supply type 66",Ambulance Services,HCPCS Level II
A0071,"Ambulance service, transport/supply type 71",Ambulance Services,HCPCS Level II
A0076,"Ambulance service, transport/supply type 76",Ambulance Services,HCPCS Level II
A0081,"Ambulance service, transport/supply type 81",Ambulance Services,HCPCS Level II
A0086,"Ambulance service, transport/supply type 86",Ambulance Services,HCPCS Level II
A0091,"Ambulance service, transport/supply type 91",Ambulance Services,HCPCS Level II
A0096,"Ambulance service, transport/supply type 96",Ambulance Services,HCPCS Level II
A0101,"Ambulance service, transport/supply type 101",Ambulance Services,HCPCS Level II
A0106,"Ambulance service, transport/supply type 106",Ambulance Services,HCPCS Level II
A0111,"Ambulance service, transport/supply type 111",Ambulance Services,HCPCS Level II
A0116,"Ambulance service, transport/supply type 116",Ambulance Services,HCPCS Level II
A0121,"Ambulance service, transport/supply type 121",Ambulance Services,HCPCS Level II
A0126,"Ambulance service, transport/supply type 126",Ambulance Services,HCPCS Level II
A0131,"Ambulance service, transport/supply type 131",Ambulance Services,HCPCS Level II
A0136,"Ambulance service, transport/supply type 136",Ambulance Services,HCPCS Level II
A0141,"Ambulance service, transport/supply type 141",Ambulance Services,HCPCS Level II
A0146,"Ambulance service, transport/supply type 146",Ambulance Services,HCPCS Level II
A0151,"Ambulance service, transport/supply type 151",Ambulance Services,HCPCS Level II
A0156,"Ambulance service, transport/supply type 156",Ambulance Services,HCPCS Level II
A0161,"Ambulance service, transport/supply type 161",Ambulance Services,HCPCS Level II
A0166,"Ambulance service, transport/supply type 166",Ambulance Services,HCPCS Level II
A0171,"Ambulance service, transport/supply type 171",Ambulance Services,HCPCS Level II
A0176,"Ambulance service, transport/supply type 176",Ambulance Services,HCPCS Level II
A0181,"Ambulance service, transport/supply type 181",Ambulance Services,HCPCS Level II
A0186,"Ambulance service, transport/supply type 186",Ambulance Services,HCPCS Level II
A0191,"Ambulance service, transport/supply type 191",Ambulance Services,HCPCS Level II
A0196,"Ambulance service, transport/supply type 196",Ambulance Services,HCPCS Level II
A0201,"Ambulance service, transport/supply type 201",Ambulance Services,HCPCS Level II
A0206,"Ambulance service, transport/supply type 206",Ambulance Services,HCPCS Level II
A0211,"Ambulance service, transport/supply type 211",Ambulance Services,HCPCS Level II
A0216,"Ambulance service, transport/supply type 216",Ambulance Services,HCPCS Level II
A0221,"Ambulance service, transport/supply type 221",Ambulance Services,HCPCS Level II
A0226,"Ambulance service, transport/supply type 226",Ambulance Services,HCPCS Level II
A0231,"Ambulance service, transport/supply type 231",Ambulance Services,HCPCS Level II
A0236,"Ambulance service, transport/supply type 236",Ambulance Services,HCPCS Level II
A0241,"Ambulance service, transport/supply type 241",Ambulance Services,HCPCS Level II
A0246,"Ambulance service, transport/supply type 246",Ambulance Services,HCPCS Level II
A0251,"Ambulance service, transport/supply type 251",Ambulance Services,HCPCS Level II
A0256,"Ambulance service, transport/supply type 256",Ambulance Services,HCPCS Level II
A0261,"Ambulance service, transport/supply type 261",Ambulance Services,HCPCS Level II
A0266,"Ambulance service, transport/supply type 266",Ambulance Services,HCPCS Level II
A0271,"Ambulance service, transport/supply type 271",Ambulance Services,HCPCS Level II
A0276,"Ambulance service, transport/supply type 276",Ambulance Services,HCPCS Level II
A0281,"Ambulance service, transport/supply type 281",Ambulance Services,HCPCS Level II
A0286,"Ambulance service, transport/supply type 286",Ambulance Services,HCPCS Level II
A0291,"Ambulance service, transport/supply type 291",Ambulance Services,HCPCS Level II
A0296,"Ambulance service, transport/supply type 296",Ambulance Services,HCPCS Level II
A0301,"Ambulance service, transport/supply type 301",Ambulance Services,HCPCS Level II
A0306,"Ambulance service, transport/supply type 306",Ambulance Services,HCPCS Level II
A0311,"Ambulance service, transport/supply type 311",Ambulance Services,HCPCS Level II
A0316,"Ambulance service, transport/supply type 316",Ambulance Services,HCPCS Level II
A0321,"Ambulance service, transport/supply type 321",Ambulance Services,HCPCS Level II
A0326,"Ambulance service, transport/supply type 326",Ambulance Services,HCPCS Level II
A0331,"Ambulance service, transport/supply type 331",Ambulance Services,HCPCS Level II
A0336,"Ambulance service, transport/supply type 336",Ambulance Services,HCPCS Level II
A0341,"Ambulance service, transport/supply type 341",Ambulance Services,HCPCS Level II
A0346,"Ambulance service, transport/supply type 346",Ambulance Services,HCPCS Level II
A0351,"Ambulance service, transport/supply type 351",Ambulance Services,HCPCS Level II
A0356,"Ambulance service, transport/supply type 356",Ambulance Services,HCPCS Level II
A0361,"Ambulance service, transport/supply type 361",Ambulance Services,HCPCS Level II
A0366,"Ambulance service, transport/supply type 366",Ambulance Services,HCPCS Level II
A0371,"Ambulance service, transport/supply type 371",Ambulance Services,HCPCS Level II
A0376,"Ambulance service, transport/supply type 376",Ambulance Services,HCPCS Level II
A0381,"Ambulance service, transport/supply type 381",Ambulance Services,HCPCS Level II
A0386,"Ambulance service, transport/supply type 386",Ambulance Services,HCPCS Level II
A0391,"Ambulance service, transport/supply type 391",Ambulance Services,HCPCS Level II
A0396,"Ambulance service, transport/supply type 396",Ambulance Services,HCPCS Level II
A0401,"Ambulance service, transport/supply type 401",Ambulance Services,HCPCS Level II
A0406,"Ambulance service, transport/supply type 406",Ambulance Services,HCPCS Level II
A0411,"Ambulance service, transport/supply type 411",Ambulance Services,HCPCS Level II
A0416,"Ambulance service, transport/supply type 416",Ambulance Services,HCPCS Level II
A0421,"Ambulance service, transport/supply type 421",Ambulance Services,HCPCS Level II
A0426,"Ambulance service, transport/supply type 426",Ambulance Services,HCPCS Level II
A0431,"Ambulance service, transport/supply type 431",Ambulance Services,HCPCS Level II
A0436,"Ambulance service, transport/supply type 436",Ambulance Services,HCPCS Level II
A0441,"Ambulance service, transport/supply type 441",Ambulance Services,HCPCS Level II
A0446,"Ambulance service, transport/supply type 446",Ambulance Services,HCPCS Level II
A0451,"Ambulance service, transport/supply type 451",Ambulance Services,HCPCS Level II
A0456,"Ambulance service, transport/supply type 456",Ambulance Services,HCPCS Level II
A0461,"Ambulance service, transport/supply type 461",Ambulance Services,HCPCS Level II
A0466,"Ambulance service, transport/supply type 466",Ambulance Services,HCPCS Level II
A0471,"Ambulance service, transport/supply type 471",Ambulance Services,HCPCS Level II
A0476,"Ambulance service, transport/supply type 476",Ambulance Services,HCPCS Level II
A0481,"Ambulance service, transport/supply type 481",Ambulance Services,HCPCS Level II
A0486,"Ambulance service, transport/supply type 486",Ambulance Services,HCPCS Level II
A0491,"Ambulance service, transport/supply type 491",Ambulance Services,HCPCS Level II
A0496,"Ambulance service, transport/supply type 496",Ambulance Services,HCPCS Level II
A0501,"Ambulance service, transport/supply type 501",Ambulance Services,HCPCS Level II
A0506,"Ambulance service, transport/supply type 506",Ambulance Services,HCPCS Level II
A0511,"Ambulance service, transport/supply type 511",Ambulance Services,HCPCS Level II
A0516,"Ambulance service, transport/supply type 516",Ambulance Services,HCPCS Level II
A0521,"Ambulance service, transport/supply type 521",Ambulance Services,HCPCS Level II
A0526,"Ambulance service, transport/supply type 526",Ambulance Services,HCPCS Level II
A0531,"Ambulance service, transport/supply type 531",Ambulance Services,HCPCS Level II
A0536,"Ambulance service, transport/supply type 536",Ambulance Services,HCPCS Level II
A0541,"Ambulance service, transport/supply type 541",Ambulance Services,HCPCS Level II
A0546,"Ambulance service, transport/supply type 546",Ambulance Services,HCPCS Level II
A0551,"Ambulance service, transport/supply type 551",Ambulance Services,HCPCS Level II
A0556,"Ambulance service, transport/supply type 556",Ambulance Services,HCPCS Level II
A0561,"Ambulance service, transport/supply type 561",Ambulance Services,HCPCS Level II
A0566,"Ambulance service, transport/supply type 566",Ambulance Services,HCPCS Level II
A0571,"Ambulance service, transport/supply type 571",Ambulance Services,HCPCS Level II
A0576,"Ambulance service, transport/supply type 576",Ambulance Services,HCPCS Level II
A0581,"Ambulance service, transport/supply type 581",Ambulance Services,HCPCS Level II
A0586,"Ambulance service, transport/supply type 586",Ambulance Services,HCPCS Level II
A0591,"Ambulance service, transport/supply type 591",Ambulance Services,HCPCS Level II
A0596,"Ambulance service, transport/supply type 596",Ambulance Services,HCPCS Level II
A0601,"Ambulance service, transport/supply type 601",Ambulance Services,HCPCS Level II
A0606,"Ambulance service, transport/supply type 606",Ambulance Services,HCPCS Level II
A0611,"Ambulance service, transport/supply type 611",Ambulance Services,HCPCS Level II
A0616,"Ambulance service, transport/supply type 616",Ambulance Services,HCPCS Level II
A0621,"Ambulance service, transport/supply type 621",Ambulance Services,HCPCS Level II
A0626,"Ambulance service, transport/supply type 626",Ambulance Services,HCPCS Level II
A0631,"Ambulance service, transport/supply type 631",Ambulance Services,HCPCS Level II
A0636,"Ambulance service, transport/supply type 636",Ambulance Services,HCPCS Level II
A0641,"Ambulance service, transport/supply type 641",Ambulance Services,HCPCS Level II
A0646,"Ambulance service, transport/supply type 646",Ambulance Services,HCPCS Level II
A0651,"Ambulance service, transport/supply type 651",Ambulance Services,HCPCS Level II
A0656,"Ambulance service, transport/supply type 656",Ambulance Services,HCPCS Level II
A0661,"Ambulance service, transport/supply type 661",Ambulance Services,HCPCS Level II
A0666,"Ambulance service, transport/supply type 666",Ambulance Services,HCPCS Level II
A0671,"Ambulance service, transport/supply type 671",Ambulance Services,HCPCS Level II
A0676,"Ambulance service, transport/supply type 676",Ambulance Services,HCPCS Level II
A0681,"Ambulance service, transport/supply type 681",Ambulance Services,HCPCS Level II
A0686,"Ambulance service, transport/supply type 686",Ambulance Services,HCPCS Level II
A0691,"Ambulance service, transport/supply type 691",Ambulance Services,HCPCS Level II
A0696,"Ambulance service, transport/supply type 696",Ambulance Services,HCPCS Level II
A0701,"Ambulance service, transport/supply type 701",Ambulance Services,HCPCS Level II
A0706,"Ambulance service, transport/supply type 706",Ambulance Services,HCPCS Level II
A0711,"Ambulance service, transport/supply type 711",Ambulance Services,HCPCS Level II
A0716,"Ambulance service, transport/supply type 716",Ambulance Services,HCPCS Level II
A0721,"Ambulance service, transport/supply type 721",Ambulance Services,HCPCS Level II
A0726,"Ambulance service, transport/supply type 726",Ambulance Services,HCPCS Level II
A0731,"Ambulance service, transport/supply type 731",Ambulance Services,HCPCS Level II
A0736,"Ambulance service, transport/supply type 736",Ambulance Services,HCPCS Level II
A0741,"Ambulance service, transport/supply type 741",Ambulance Services,HCPCS Level II
A0746,"Ambulance service, transport/supply type 746",Ambulance Services,HCPCS Level II
A0751,"Ambulance service, transport/supply type 751",Ambulance Services,HCPCS Level II
A0756,"Ambulance service, transport/supply type 756",Ambulance Services,HCPCS Level II
A0761,"Ambulance service, transport/supply type 761",Ambulance Services,HCPCS Level II
A0766,"Ambulance service, transport/supply type 766",Ambulance Services,HCPCS Level II
A0771,"Ambulance service, transport/supply type 771",Ambulance Services,HCPCS Level II
A0776,"Ambulance service, transport/supply type 776",Ambulance Services,HCPCS Level II
A0781,"Ambulance service, transport/supply type 781",Ambulance Services,HCPCS Level II
A0786,"Ambulance service, transport/supply type 786",Ambulance Services,HCPCS Level II
A0791,"Ambulance service, transport/supply type 791",Ambulance Services,HCPCS Level II
A0796,"Ambulance service, transport/supply type 796",Ambulance Services,HCPCS Level II
A0801,"Ambulance service, transport/supply type 801",Ambulance Services,HCPCS Level II
A0806,"Ambulance service, transport/supply type 806",Ambulance Services,HCPCS Level II
A0811,"Ambulance service, transport/supply type 811",Ambulance Services,HCPCS Level II
A0816,"Ambulance service, transport/supply type 816",Ambulance Services,HCPCS Level II
A0821,"Ambulance service, transport/supply type 821",Ambulance Services,HCPCS Level II
A0826,"Ambulance service, transport/supply type 826",Ambulance Services,HCPCS Level II
A0831,"Ambulance service, transport/supply type 831",Ambulance Services,HCPCS Level II
A0836,"Ambulance service, transport/supply type 836",Ambulance Services,HCPCS Level II
A0841,"Ambulance service, transport/supply type 841",Ambulance Services,HCPCS Level II
A0846,"Ambulance service, transport/supply type 846",Ambulance Services,HCPCS Level II
A0851,"Ambulance service, transport/supply type 851",Ambulance Services,HCPCS Level II
