code,description,chapter,code_type,includes,excludes,code_system
I,Certain infectious and parasitic diseases,Diseases of the Circulatory System (I00-I99),chapter,,,ICD-10-CM
A00-A09,Intestinal infectious diseases,Infectious and Parasitic Diseases (A00-B99),block,,,ICD-10-CM
A00,Cholera,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A00.9,"Cholera, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A01,Typhoid and paratyphoid fevers,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A01.0,Typhoid fever,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A01.1,Paratyphoid fever A,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A01.2,Paratyphoid fever B,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A01.3,Paratyphoid fever C,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A01.4,"Paratyphoid fever, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A02,Other salmonella infections,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A02.0,Salmonella enteritis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A02.1,Salmonella sepsis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A02.2,Localized salmonella infections,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A02.8,Other specified salmonella infections,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A02.9,"Salmonella infection, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A03,Shigellosis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A03.0,Shigellosis due to Shigella dysenteriae,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A03.1,Shigellosis due to Shigella flexneri,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A03.2,Shigellosis due to Shigella boydii,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A03.3,Shigellosis due to Shigella sonnei,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A03.8,Other shigellosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A03.9,"Shigellosis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04,Other bacterial intestinal infections,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A04.0,Enteropathogenic Escherichia coli infection,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.1,Enterotoxigenic Escherichia coli infection,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.2,Enteroinvasive Escherichia coli infection,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.3,Enterohaemorrhagic Escherichia coli infection,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.4,Other intestinal Escherichia coli infections,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.5,Campylobacter enteritis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.6,Enteritis due to Yersinia enterocolitica,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.7,Enterocolitis due to Clostridium difficile,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.8,Other specified bacterial intestinal infections,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.9,"Bacterial intestinal infection, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05,"Other bacterial foodborne intoxications, not elsewhere classified",Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A05.0,Foodborne staphylococcal intoxication,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05.1,Botulism,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05.3,Foodborne Vibrio parahaemolyticus intoxication,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05.4,Foodborne Bacillus cereus intoxication,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05.8,Other specified bacterial foodborne intoxications,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05.9,"Bacterial foodborne intoxication, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06,Amoebiasis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A06.0,Acute amoebic dysentery,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.1,Chronic intestinal amoebiasis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.2,Amoebic nondysenteric colitis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.3,Amoeboma of intestine,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.4,Amoebic liver abscess,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.5,Amoebic lung abscess,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.6,Amoebic brain abscess,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.7,Cutaneous amoebiasis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.8,Amoebic infection of other sites,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.9,"Amoebiasis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A07,Other protozoal intestinal diseases,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A07.0,Balantidiasis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A07.1,Giardiasis [lambliasis],Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A07.2,Cryptosporidiosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A07.3,Isosporiasis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A07.8,Other specified protozoal intestinal diseases,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A07.9,"Protozoal intestinal disease, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A08,Viral and other specified intestinal infections,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A08.0,Rotaviral enteritis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A08.1,Acute gastroenteropathy due to Norovirus,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A08.2,Adenoviral enteritis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A08.3,Other viral enteritis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A08.4,"Viral intestinal infection, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A08.5,Other specified intestinal infections,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A09,Other gastroenteritis and colitis of infectious and unspecified origin,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A09.9,Gastroenteritis and colitis of unspecified origin,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15-A19,Tuberculosis,Infectious and Parasitic Diseases (A00-B99),block,,,ICD-10-CM
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15.1,"Tuberculosis of lung, confirmed by culture only",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15.2,"Tuberculosis of lung, confirmed histologically",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15.3,"Tuberculosis of lung, confirmed by unspecified means",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
